iter	Logloss
0	0.5354263559
1	0.4395049565
2	0.3295703996
3	0.2711776723
4	0.2279401722
5	0.2066026712
6	0.1786483796
7	0.1567412031
8	0.1466022097
9	0.1366603413
10	0.1268034514
11	0.1194126053
12	0.1104966429
13	0.1022688222
14	0.09577701446
15	0.09025416398
16	0.08577310053
17	0.08231841618
18	0.07869825375
19	0.075894074
20	0.07160269014
21	0.06749449564
22	0.06544390435
23	0.06304261632
24	0.06018264968
25	0.0583695439
26	0.05655017468
27	0.05311608981
28	0.05085935165
29	0.04916322258
30	0.04696993377
31	0.04493600157
32	0.04305996271
33	0.04158515663
34	0.04045599905
35	0.0385971475
36	0.03745404225
37	0.03611797124
38	0.03487546548
39	0.03404406241
40	0.03292380667
41	0.03216627276
42	0.03120880727
43	0.03053659771
44	0.02919529873
45	0.02832680157
46	0.02665059889
47	0.02551719176
48	0.02419443918
49	0.02357992469
50	0.02306160907
51	0.02203562124
52	0.02118617743
53	0.02050400353
54	0.02005695107
55	0.01972905505
56	0.01879057606
57	0.01834263655
58	0.01799735836
59	0.01745677808
60	0.01714048284
61	0.0165140616
62	0.0159426787
63	0.01552716698
64	0.01535899117
65	0.01491212672
66	0.01437484854
67	0.01398059564
68	0.01345777896
69	0.01319527495
70	0.01248163139
71	0.01214012042
72	0.01150178147
73	0.0111657167
74	0.01076210002
75	0.01063065252
76	0.01034439853
77	0.010058866
78	0.009720002421
79	0.009545978037
80	0.009340151552
81	0.009116962407
82	0.00886836028
83	0.008691565344
84	0.008393501882
85	0.00824824284
86	0.008039371645
87	0.007882582711
88	0.007605890555
89	0.007407517775
90	0.007205596982
91	0.007107215915
92	0.006887518558
93	0.006786550986
94	0.006709994798
95	0.00658545231
96	0.006462594101
97	0.00631138651
98	0.006158204295
99	0.006036859525
100	0.005955480624
101	0.005785657143
102	0.005703384459
103	0.005619966256
104	0.005480721714
105	0.005406319071
106	0.005322249877
107	0.005187356159
108	0.005083112257
109	0.004956432281
110	0.004877321119
111	0.004792843829
112	0.00466942045
113	0.004435184423
114	0.004381821191
115	0.004348806635
116	0.004294011542
117	0.004262740793
118	0.004198949331
119	0.004154736969
120	0.004095386276
121	0.004022863591
122	0.003946047869
123	0.00391012865
124	0.003821231176
125	0.003738389864
126	0.003673685327
127	0.003592239553
128	0.00355714935
129	0.003506874311
130	0.003441340791
131	0.003406485558
132	0.003342243059
133	0.003288976492
134	0.0032306328
135	0.003230648918
136	0.003174234326
137	0.00312948782
138	0.003092934051
139	0.00306914112
140	0.003027906132
