iter	Passed	Remaining
402	8692	12877
403	8710	12850
404	8728	12823
405	8747	12798
406	8766	12773
407	8784	12746
408	8802	12718
409	8818	12690
410	8836	12662
411	8853	12635
412	8872	12610
413	8890	12583
414	8910	12560
415	8929	12535
416	8946	12508
417	8965	12482
418	8983	12457
419	9004	12434
420	9025	12412
421	9043	12386
422	9061	12360
423	9079	12334
424	9097	12308
425	9114	12281
426	9131	12253
427	9149	12227
428	9167	12202
429	9185	12175
430	9202	12148
431	9220	12123
432	9237	12096
433	9255	12070
434	9273	12045
435	9290	12017
436	9308	11992
437	9326	11967
438	9343	11940
439	9361	11914
440	9379	11888
441	9396	11862
442	9416	11840
443	9440	11822
444	9461	11799
445	9481	11777
446	9499	11752
447	9517	11727
448	9535	11701
449	9552	11675
450	9572	11652
451	9590	11626
452	9607	11601
453	9624	11574
454	9642	11549
455	9660	11524
456	9679	11500
457	9697	11475
458	9715	11450
459	9732	11425
460	9750	11400
461	9770	11377
462	9788	11353
463	9806	11328
464	9824	11303
465	9841	11277
466	9860	11254
467	9878	11229
468	9897	11206
469	9915	11181
470	9933	11156
471	9950	11131
472	9969	11107
473	9993	11089
474	10016	11071
475	10037	11050
476	10059	11029
477	10081	11009
478	10101	10987
479	10120	10963
480	10139	10940
481	10158	10917
482	10177	10893
483	10195	10869
484	10214	10846
485	10233	10822
486	10251	10798
487	10268	10773
488	10286	10748
489	10303	10724
490	10321	10699
491	10338	10674
492	10355	10649
493	10373	10625
494	10392	10602
495	10410	10577
496	10429	10555
497	10461	10545
498	10479	10521
499	10498	10498
500	10515	10473
501	10532	10448
502	10550	10424
503	10567	10399
504	10585	10375
505	10603	10351
506	10620	10327
507	10638	10303
508	10658	10281
509	10677	10258
510	10694	10233
511	10711	10209
512	10728	10185
513	10747	10162
514	10767	10140
515	10788	10119
516	10807	10097
517	10825	10073
518	10844	10050
519	10863	10027
520	10882	10005
521	10903	9984
522	10922	9961
523	10941	9939
524	10962	9918
525	10983	9897
526	11004	9876
527	11025	9856
528	11045	9834
529	11067	9814
530	11086	9792
531	11106	9770
532	11124	9746
533	11143	9724
534	11162	9701
535	11180	9678
536	11202	9658
537	11222	9636
538	11242	9615
539	11261	9593
540	11279	9570
541	11299	9548
542	11318	9525
543	11336	9502
544	11355	9480
545	11373	9457
546	11391	9434
